员工ID,工号,姓名,所属科室,拟岗位,年龄,性别,最高学历,行龄,司龄,近2年绩效平均分,近2年内绩效为B-及以下的次数,近2年内获得A+的次数,近2年内绩效为A及以上的次数,近1年病假天数,近1年事假天数,近2年牵头项目个数,近2年日均工时,组长/骨干标识,重点项目成员标识,敏捷角色（PO/SM）,内部项目支持（担任PM）,外部项目支持（担任PM）,产品经理-业务分析,产品经理-产品设计,近2年行外发表的论文、杂志的数量,近2年获得的部门级以上奖励、荣誉数量,近2年获得的部门级以上的最高荣誉名称,年度部门内分享/培训次数（作为培训者）,年度部门外培训次数（作为培训者）,年度部门外培训次数（作为被培训者）,年度部门内分享/培训次数（作为被培训者）,近2年带教的实习生数量,近2年带教的校招新行员的数量,近2年带教的实习生转正数量,近2年带教的校招新行员转正成绩为A的数量,近3个月查看知识库会议纪要次数,当年资质证书获取情况,数据分析师-数据分析工具运用能力,数据分析师-算法模型开发能力,数据分析师-营销运营能力,数据研发师-SQL开发,数据研发师-数据模型设计,数据研发师-业务理解,应用研发-技术架构设计,应用研发-应用开发能力,AI算法工程师-数学与建模理论基础,AI算法工程师-编程与工程实现,学习能力,创新思维,任务拆解能力,领导力,团队合作,综合评价（A+、A、A-、B、B-）-直属上级,综合评价（A+、A、A-、B、B-）-同级同事,综合评价（A+、A、A-、B、B-）-下级（如有）,特长,兴趣爱好,_summary,所属分组,近期工作任务,手头项目,工作类型,应用领域,工作饱和度,科室周报联动,考试成绩,成绩等级,代码行数,迟到次数,月度加班时长,技能匹配度,经验丰富度,吃苦耐劳度,创新潜力
57,300057,吴溪西,信息统计部,数据分析,23.0,女,硕士,4.5,5.2,3.81,1,0,0,2,1,0,7.9,0,0,0,0,0,0,0,0,0,无,2,0,1,0,1,1,0,0,25,是,3,1,5,3,3,2,2,2,3,2,2,3,3,3,3,A-,A-,A-,数学,绘画,吴溪西（信息统计部/数据分析） | 女，23.0岁，硕士，行龄4.5年 | 绩效3.81分，日均工时7.9h，牵头项目0个 | 最强技能：营销运营能力(5分)、数据分析工具运用能力(3分)、SQL开发(3分) | 软技能：创新思维3分/任务拆解能力3分/领导力3分 | 360评价：上级A-/同级A- | 岗位匹配：中(技能均分3.0) | 分组：AI产品运营组 | 工作类型：数据分析/开发（含模型、应用、数仓等）/需求分析 | 饱和度：88.4%(饱和) | 手头项目：智能问数二期、反电诈管理系统日常运维与功能迭代,监管统计组,"[""知识库问答系统数据可视化看板搭建，完成指标计算模块的实时监测"", ""参与新行员培训项目数据分析专项，完成消息队列模块的深度挖掘"", ""大模型智能体数据挖掘模型训练，完成可视化组件的预测分析"", ""智能数据血缘分析工具客户经营分析报告撰写，完成特征工程模块的数据洞察""]","[""智能问数二期"", ""反电诈管理系统日常运维与功能迭代""]","[""数据分析"", ""开发（含模型、应用、数仓等）"", ""需求分析""]","[""智能外呼分析""]","{""总体饱和度"": 88.4, ""开发/实施占比"": 66.7, ""会议沟通占比"": 19.8, ""文档撰写占比"": 11.7, ""学习提升占比"": 1.8, ""负荷等级"": ""饱和""}",,62,及格,5496,0,14.1,62,70,58,71
58,300058,熊艳尘,智能平台部,应用研发,34.5,女,硕士,0.2,4.4,4.16,1,0,0,3,1,3,7.7,0,0,0,0,0,0,0,0,0,无,2,0,1,4,1,2,0,0,20,否,3,3,3,1,3,4,5,4,4,4,2,3,4,2,2,A-,A-,B+,写作,烹饪,熊艳尘（智能平台部/应用研发） | 女，34.5岁，硕士，行龄0.2年 | 绩效4.16分，日均工时7.7h，牵头项目3个 | 最强技能：技术架构设计(5分)、应用开发能力(4分)、数学与建模理论基础(4分) | 软技能：任务拆解能力4分/创新思维3分/学习能力2分 | 360评价：上级A-/同级A- | 岗位匹配：高(技能均分4.5) | 分组：工具开发组 | 工作类型：开发（含模型、应用、数仓等）/生产运维/测试 | 饱和度：93.4%(饱和) | 手头项目：信贷场景MVP、客户经理超级工作台日常运维与功能迭代,风险模型组,"[""参与通用办公助手代码评审，完成前端展示层的技术债务清理"", ""智能尽调助手容器化部署，完成监控告警模块的CI/CD流程配置"", ""客服助手后端服务开发，完成API网关模块的接口设计与实现"", ""智能问数助手前端页面开发，完成日志审计模块的交互逻辑优化"", ""信贷场景MVP容器化部署，完成缓存层的CI/CD流程配置""]","[""信贷场景MVP"", ""客户经理超级工作台日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""生产运维"", ""测试""]","[""长文本智能分析""]","{""总体饱和度"": 93.4, ""开发/实施占比"": 55.3, ""会议沟通占比"": 17.7, ""文档撰写占比"": 10.5, ""学习提升占比"": 16.6, ""负荷等级"": ""饱和""}",,64,及格,7044,3,10.9,82,52,73,78
59,300059,段昊怡,数据平台部,数据分析,32.3,女,本科,5.3,4.8,3.7,0,0,0,2,0,2,9.3,0,0,0,0,0,0,0,0,0,无,1,1,0,3,1,1,0,0,25,是,4,5,4,4,3,3,3,4,4,4,3,3,2,4,4,B+,A,A-,演讲,游戏,段昊怡（数据平台部/数据分析） | 女，32.3岁，本科，行龄5.3年 | 绩效3.7分，日均工时9.3h，牵头项目2个 | 最强技能：算法模型开发能力(5分)、数据分析工具运用能力(4分)、营销运营能力(4分) | 软技能：领导力4分/团队合作4分/学习能力3分 | 360评价：上级B+/同级A | 岗位匹配：高(技能均分4.3) | 分组：架构安全组 | 工作类型：数据分析/需求分析/开发（含模型、应用、数仓等） | 饱和度：97.0%(高负荷) | 手头项目：中试基地项目、尽调报告智能体、信雅达POC、East数据质量分析日常运维与功能迭代,架构安全组,"[""反电诈管理系统客户经营分析报告撰写，完成特征工程模块的数据洞察"", ""客服助手用户行为分析，完成用户权限模块的客群画像"", ""联机服务集群用户行为分析，完成日志审计模块的客群画像""]","[""中试基地项目"", ""尽调报告智能体"", ""信雅达POC"", ""East数据质量分析日常运维与功能迭代""]","[""数据分析"", ""需求分析"", ""开发（含模型、应用、数仓等）""]","[""Hadoop数据仓库"", ""数据运维平台""]","{""总体饱和度"": 97.0, ""开发/实施占比"": 69.5, ""会议沟通占比"": 23.4, ""文档撰写占比"": 7.4, ""学习提升占比"": 0, ""负荷等级"": ""高负荷""}",,47,不及格,10173,1,12.4,47,40,72,71
60,300060,董达念,智能应用一部,算法工程,26.1,女,本科,1.2,5.6,4.04,1,0,0,2,2,0,7.5,0,0,0,0,0,0,0,0,0,无,0,1,0,3,1,0,0,0,27,是,4,4,2,3,4,3,5,5,4,3,4,3,5,4,4,B+,A-,A-,写作,运动,董达念（智能应用一部/算法工程） | 女，26.1岁，本科，行龄1.2年 | 绩效4.04分，日均工时7.5h，牵头项目0个 | 最强技能：技术架构设计(5分)、应用开发能力(5分)、数据分析工具运用能力(4分) | 软技能：任务拆解能力5分/学习能力4分/领导力4分 | 360评价：上级B+/同级A- | 岗位匹配：中(技能均分3.5) | 分组：项目管理团队 | 工作类型：开发（含模型、应用、数仓等）/数据分析/项目管理（含外包管理） | 饱和度：71.7%(正常) | 手头项目：East数据质量AI分析、AI手机银行日常运维与功能迭代,对公应用组,"[""信用风险监测预警机器学习模型训练，完成特征工程模块的特征工程与调参"", ""大模型智能体模型效果评估，完成指标计算模块的A/B测试与迭代"", ""信用风险监测预警NLP模型部署，完成模型训练层的推理性能优化"", ""联机服务集群智能体开发，完成API网关模块的Agent工作流设计"", ""数据测试平台模型效果评估，完成报表生成模块的A/B测试与迭代""]","[""East数据质量AI分析"", ""AI手机银行日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""数据分析"", ""项目管理（含外包管理）""]","[""长文本智能分析"", ""智能外呼分析""]","{""总体饱和度"": 71.7, ""开发/实施占比"": 54.2, ""会议沟通占比"": 16.6, ""文档撰写占比"": 10.3, ""学习提升占比"": 18.8, ""负荷等级"": ""正常""}",,59,不及格,10554,0,3.4,99,41,69,62
61,300061,贺国安,机构服务团队,需求分析,26.3,女,本科,2.4,3.1,4.5,2,1,0,1,3,2,8.1,0,0,0,1,0,0,0,0,1,优秀导师,0,0,1,2,1,1,0,1,17,是,2,4,3,4,4,3,3,3,2,4,3,2,5,5,5,A+,B,B-,项目管理,电影,贺国安（机构服务团队/需求分析） | 女，26.3岁，本科，行龄2.4年 | 绩效4.5分，日均工时8.1h，牵头项目2个 | 角色：内部PM | 最强技能：算法模型开发能力(4分)、SQL开发(4分)、数据模型设计(4分) | 软技能：任务拆解能力5分/领导力5分/团队合作5分 | 360评价：上级A+/同级B | 分组：架构安全组 | 工作类型：需求分析/数据分析/项目管理（含外包管理） | 饱和度：95.5%(高负荷) | 手头项目：零售客户分群、授信政策知识体系、对公信贷智能化、授信政策管理系统日常运维与功能迭代,非零BP,"[""East数据质量AI分析需求评审会议组织，完成API网关模块的需求澄清与确认"", ""DWS数据集群业务流程梳理，完成模型训练层的原型设计与验证"", ""组织信雅达POC业务培训，完成Prompt管理模块的操作手册编写"", ""组织新行员培训项目业务培训，完成缓存层的操作手册编写"", ""公共智能体工作站竞品分析，完成用户权限模块的功能对标与差距分析""]","[""零售客户分群"", ""授信政策知识体系"", ""对公信贷智能化"", ""授信政策管理系统日常运维与功能迭代""]","[""需求分析"", ""数据分析"", ""项目管理（含外包管理）""]","[""反电诈管理系统"", ""Hadoop数据仓库""]","{""总体饱和度"": 95.5, ""开发/实施占比"": 68.7, ""会议沟通占比"": 16.5, ""文档撰写占比"": 5.6, ""学习提升占比"": 9.2, ""负荷等级"": ""高负荷""}",,52,不及格,11041,3,2.3,59,73,73,74
62,300062,姜志丽,数据开发部,需求分析,36.0,女,博士,3.7,2.5,4.01,0,1,2,3,2,0,8.1,0,1,0,1,0,0,0,1,1,创新奖,1,0,1,0,0,2,0,1,17,是,3,4,4,3,4,3,3,4,4,3,1,5,5,5,4,A-,B+,B-,培训,电影,姜志丽（数据开发部/需求分析） | 女，36.0岁，博士，行龄3.7年 | 绩效4.01分，日均工时8.1h，牵头项目0个 | 角色：重点项目成员、内部PM | 最强技能：算法模型开发能力(4分)、营销运营能力(4分)、数据模型设计(4分) | 软技能：创新思维5分/任务拆解能力5分/领导力5分 | 360评价：上级A-/同级B+ | 分组：标准质量组 | 工作类型：需求分析/项目管理（含外包管理）/数据分析 | 饱和度：81.9%(正常) | 手头项目：East数据质量AI分析、信用风险监测预警日常运维与功能迭代,数仓开发组,"[""反诈机器学习模型需求评审会议组织，完成任务调度模块的需求澄清与确认"", ""零售客户关系管理业务流程梳理，完成数据清洗模块的原型设计与验证"", ""AI手机银行用户体验优化，完成模型训练层的交互流程改进""]","[""East数据质量AI分析"", ""信用风险监测预警日常运维与功能迭代""]","[""需求分析"", ""项目管理（含外包管理）"", ""数据分析""]","[""数据安全脱敏网关系统"", ""Hadoop数据仓库""]","{""总体饱和度"": 81.9, ""开发/实施占比"": 42.1, ""会议沟通占比"": 12.9, ""文档撰写占比"": 10.8, ""学习提升占比"": 34.2, ""负荷等级"": ""正常""}",,78,良好,7520,1,21.1,70,64,80,82
63,300063,万健志,综合管理部,应用研发,24.8,男,本科,7.2,1.6,3.63,2,0,0,0,0,3,7.6,0,0,0,0,0,0,0,0,1,年度之星,2,1,0,1,0,0,0,0,20,否,4,4,4,2,1,3,3,5,3,5,2,4,4,3,5,B,B-,B+,演讲,摄影,万健志（综合管理部/应用研发） | 男，24.8岁，本科，行龄7.2年 | 绩效3.63分，日均工时7.6h，牵头项目3个 | 最强技能：应用开发能力(5分)、编程与工程实现(5分)、数据分析工具运用能力(4分) | 软技能：团队合作5分/创新思维4分/任务拆解能力4分 | 360评价：上级B/同级B- | 岗位匹配：高(技能均分4.0) | 分组：服务管理组 | 工作类型：开发（含模型、应用、数仓等）/生产运维/测试 | 饱和度：94.6%(饱和) | 手头项目：绿色金融智能体、极客大赛、客户经理超级工作台日常运维与功能迭代,行政事务组,"[""实时数据集群后端服务开发，完成用户权限模块的接口设计与实现"", ""数据安全脱敏网关系统容器化部署，完成任务调度模块的CI/CD流程配置"", ""数据采集工具性能优化，完成Prompt管理模块的并发处理能力提升""]","[""绿色金融智能体"", ""极客大赛"", ""客户经理超级工作台日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""生产运维"", ""测试""]","[""智能数据血缘分析工具"", ""大模型智能体""]","{""总体饱和度"": 94.6, ""开发/实施占比"": 49.5, ""会议沟通占比"": 20.2, ""文档撰写占比"": 5.2, ""学习提升占比"": 25.0, ""负荷等级"": ""饱和""}",,38,不及格,9443,3,13.2,41,88,58,45
64,300064,姜武,信息管理部,负责人,38.5,女,本科,9.5,2.1,4.02,1,0,0,3,1,3,6.7,0,0,0,0,0,0,0,1,0,无,2,0,1,3,0,0,1,1,22,否,4,5,3,3,4,4,3,2,3,4,2,2,3,4,1,A-,A-,B+,设计,旅游,姜武（信息管理部/负责人） | 女，38.5岁，本科，行龄9.5年 | 绩效4.02分，日均工时6.7h，牵头项目3个 | 最强技能：算法模型开发能力(5分)、数据分析工具运用能力(4分)、数据模型设计(4分) | 软技能：领导力4分/任务拆解能力3分/学习能力2分 | 360评价：上级A-/同级A- | 分组：项目管理团队 | 工作类型：项目管理（含外包管理）/其他/需求分析 | 饱和度：78.6%(正常) | 手头项目：知识库问答体系建设、大模型智能体日常运维与功能迭代,服务支持组,"[""参与外搜接口采购战略对接，完成模型训练层的高层汇报材料"", ""智能外呼分析科室技术规划，输出报表生成模块的年度技术路线图"", ""参与智能工单场景战略对接，完成用户权限模块的高层汇报材料"", ""DataFun论坛项目团队管理与目标分解，完成指标计算模块的OKR制定与跟踪"", ""外搜接口采购科室重点工作推进，完成Prompt管理模块的月度汇报材料""]","[""知识库问答体系建设"", ""大模型智能体日常运维与功能迭代""]","[""项目管理（含外包管理）"", ""其他"", ""需求分析""]","[""智能数据血缘分析工具""]","{""总体饱和度"": 78.6, ""开发/实施占比"": 66.1, ""会议沟通占比"": 17.3, ""文档撰写占比"": 10.8, ""学习提升占比"": 5.7, ""负荷等级"": ""正常""}",,55,不及格,7043,3,28.2,77,80,58,62
65,300065,钱南军,机构服务团队,算法工程,26.2,女,硕士,4.4,9.3,3.58,2,0,0,2,0,2,8.4,1,0,0,0,0,1,1,1,1,质量之星,0,0,0,0,2,1,1,0,18,是,4,4,4,1,5,2,3,4,3,1,3,3,2,3,2,A+,B+,B+,演讲,音乐,钱南军（机构服务团队/算法工程） | 女，26.2岁，硕士，行龄4.4年 | 绩效3.58分，日均工时8.4h，牵头项目2个 | 角色：组长/骨干 | 最强技能：数据模型设计(5分)、数据分析工具运用能力(4分)、算法模型开发能力(4分) | 软技能：学习能力3分/创新思维3分/领导力3分 | 360评价：上级A+/同级B+ | 岗位匹配：低-错配风险(技能均分2.0) | 分组：服务支持组 | 工作类型：开发（含模型、应用、数仓等）/数据分析/项目管理（含外包管理） | 饱和度：110%(高负荷) | 手头项目：A模式POC验证、智能工单场景、超级工作台MVP、数据安全脱敏网关系统日常运维与功能迭代,零售BP,"[""智能尽调助手RAG检索链路开发，完成推理服务层的向量数据库接入"", ""长文本智能分析机器学习模型训练，完成消息队列模块的特征工程与调参"", ""实时开发平台机器学习模型训练，完成任务调度模块的特征工程与调参"", ""数据运维平台机器学习模型训练，完成知识图谱模块的特征工程与调参"", ""尽调报告助手NLP模型部署，完成消息队列模块的推理性能优化""]","[""A模式POC验证"", ""智能工单场景"", ""超级工作台MVP"", ""数据安全脱敏网关系统日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""数据分析"", ""项目管理（含外包管理）""]","[""智能数据血缘分析工具"", ""信贷场景MVP""]","{""总体饱和度"": 110, ""开发/实施占比"": 46.2, ""会议沟通占比"": 17.8, ""文档撰写占比"": 14.2, ""学习提升占比"": 21.7, ""负荷等级"": ""高负荷""}",,76,良好,12989,3,9.1,62,97,78,63
66,300066,吕紫紫,综合管理部,应用研发,33.6,男,硕士,2.8,6.1,3.52,0,1,2,1,1,2,8.0,0,0,0,0,0,0,0,0,0,无,0,0,0,0,1,0,0,1,27,是,2,4,2,3,3,5,3,4,3,1,4,2,4,2,2,B,B+,A,设计,跑步,吕紫紫（综合管理部/应用研发） | 男，33.6岁，硕士，行龄2.8年 | 绩效3.52分，日均工时8.0h，牵头项目2个 | 最强技能：算法模型开发能力(4分)、应用开发能力(4分)、SQL开发(3分) | 软技能：学习能力4分/任务拆解能力4分/创新思维2分 | 360评价：上级B/同级B+ | 岗位匹配：中(技能均分3.5) | 分组：零售应用组 | 工作类型：开发（含模型、应用、数仓等）/测试/生产运维 | 饱和度：86.2%(饱和) | 手头项目：智能外呼分析、智能工单场景、长文本智能分析、实时开发平台日常运维与功能迭代,行政事务组,"[""参与信用卡智能后督代码评审，完成缓存层的技术债务清理"", ""信贷场景MVP技术方案设计，输出前端展示层的详细设计文档"", ""实时数据集群前端页面开发，完成用户权限模块的交互逻辑优化"", ""参与火山引擎POC代码评审，完成任务调度模块的技术债务清理"", ""金牌催收员微服务架构升级，完成Prompt管理模块的服务拆分与治理""]","[""智能外呼分析"", ""智能工单场景"", ""长文本智能分析"", ""实时开发平台日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""测试"", ""生产运维""]","[""公共智能体工作站"", ""会话式人工智能服务""]","{""总体饱和度"": 86.2, ""开发/实施占比"": 66.4, ""会议沟通占比"": 21.5, ""文档撰写占比"": 10.3, ""学习提升占比"": 1.8, ""负荷等级"": ""饱和""}",,74,良好,13147,0,15.6,86,53,85,86
67,300067,侯溪欣,数据开发部,需求分析,28.9,女,硕士,4.3,1.1,3.34,1,0,1,2,1,4,8.6,0,0,0,0,0,1,0,1,1,最佳团队奖,1,0,0,2,0,2,0,0,23,否,4,4,4,2,4,4,3,2,5,1,5,4,4,4,4,A,B+,A-,无,游泳,侯溪欣（数据开发部/需求分析） | 女，28.9岁，硕士，行龄4.3年 | 绩效3.34分，日均工时8.6h，牵头项目4个 | 最强技能：数学与建模理论基础(5分)、数据分析工具运用能力(4分)、算法模型开发能力(4分) | 软技能：学习能力5分/创新思维4分/任务拆解能力4分 | 360评价：上级A/同级B+ | 分组：模型设计组 | 工作类型：需求分析/数据分析/项目管理（含外包管理） | 饱和度：102.5%(高负荷) | 手头项目：East数据质量AI分析、Hadoop数据仓库日常运维与功能迭代,模型设计组,"[""DWS数据集群业务流程梳理，完成消息队列模块的原型设计与验证"", ""零售客户关系管理用户体验优化，完成API网关模块的交互流程改进"", ""反电诈管理系统竞品分析，完成日志审计模块的功能对标与差距分析""]","[""East数据质量AI分析"", ""Hadoop数据仓库日常运维与功能迭代""]","[""需求分析"", ""数据分析"", ""项目管理（含外包管理）""]","[""统一调度平台""]","{""总体饱和度"": 102.5, ""开发/实施占比"": 50.7, ""会议沟通占比"": 22.7, ""文档撰写占比"": 8.8, ""学习提升占比"": 17.7, ""负荷等级"": ""高负荷""}",,64,及格,15507,1,2.2,97,81,71,71
68,300068,武安,信息管理部,架构管理,33.4,男,硕士,5.0,1.2,4.28,0,0,0,4,0,1,7.6,1,0,0,0,0,0,1,0,0,无,0,0,0,2,3,0,0,0,21,否,4,3,4,3,2,2,2,5,3,3,2,4,4,2,2,A,B,A+,写作,运动,武安（信息管理部/架构管理） | 男，33.4岁，硕士，行龄5.0年 | 绩效4.28分，日均工时7.6h，牵头项目1个 | 角色：组长/骨干 | 最强技能：应用开发能力(5分)、数据分析工具运用能力(4分)、营销运营能力(4分) | 软技能：创新思维4分/任务拆解能力4分/学习能力2分 | 360评价：上级A/同级B | 岗位匹配：中(技能均分3.5) | 分组：AI产品运营组 | 工作类型：架构设计/项目管理（含外包管理）/技术评审 | 饱和度：90.5%(饱和) | 手头项目：智能工单场景、统一调度平台日常运维与功能迭代,服务支持组,"[""客服助手云原生架构规划，完成监控告警模块的容器化改造方案"", ""Hadoop集群安全架构评审，完成推理服务层的合规性检查"", ""智能尽调助手云原生架构规划，完成监控告警模块的容器化改造方案"", ""信用风险监测预警技术架构设计，完成缓存层的方案评审与优化""]","[""智能工单场景"", ""统一调度平台日常运维与功能迭代""]","[""架构设计"", ""项目管理（含外包管理）"", ""技术评审""]","[""公共智能体工作站""]","{""总体饱和度"": 90.5, ""开发/实施占比"": 61.6, ""会议沟通占比"": 19.9, ""文档撰写占比"": 6.9, ""学习提升占比"": 11.6, ""负荷等级"": ""饱和""}",,61,及格,17783,0,21.3,99,80,75,74
69,300069,毛时志,信息管理部,需求分析,27.9,女,本科,2.5,4.6,3.11,0,1,1,1,0,0,9.3,0,0,0,0,0,0,0,0,0,无,0,0,0,2,1,1,1,0,14,否,1,4,3,2,3,2,3,4,5,2,3,2,2,5,3,A+,A,A-,数学,烹饪,毛时志（信息管理部/需求分析） | 女，27.9岁，本科，行龄2.5年 | 绩效3.11分，日均工时9.3h，牵头项目0个 | 最强技能：数学与建模理论基础(5分)、算法模型开发能力(4分)、应用开发能力(4分) | 软技能：领导力5分/学习能力3分/团队合作3分 | 360评价：上级A+/同级A | 分组：测试管理组 | 工作类型：需求分析/项目管理（含外包管理）/数据分析 | 饱和度：89.7%(饱和) | 手头项目：East数据质量AI分析、金牌催收员日常运维与功能迭代,服务管理组,"[""Hadoop数据仓库用户访谈与痛点分析，输出模型训练层的需求规格说明书"", ""信贷场景MVP竞品分析，完成用户权限模块的功能对标与差距分析"", ""数据运维平台用户体验优化，完成日志审计模块的交互流程改进""]","[""East数据质量AI分析"", ""金牌催收员日常运维与功能迭代""]","[""需求分析"", ""项目管理（含外包管理）"", ""数据分析""]","[""数据运维平台""]","{""总体饱和度"": 89.7, ""开发/实施占比"": 53.5, ""会议沟通占比"": 16.0, ""文档撰写占比"": 7.0, ""学习提升占比"": 23.5, ""负荷等级"": ""饱和""}",,63,及格,3440,2,10.1,73,71,89,44
70,300070,孟南土,数据治理部,数据分析,29.7,男,本科,6.8,4.8,4.26,1,0,0,3,1,2,7.2,1,0,0,0,0,0,0,1,1,年度之星,3,2,1,3,0,1,0,1,15,是,3,3,2,4,2,4,3,1,2,3,3,3,3,4,4,A,A-,A-,培训,绘画,孟南土（数据治理部/数据分析） | 男，29.7岁，本科，行龄6.8年 | 绩效4.26分，日均工时7.2h，牵头项目2个 | 角色：组长/骨干 | 最强技能：SQL开发(4分)、数据分析工具运用能力(3分)、算法模型开发能力(3分) | 软技能：领导力4分/团队合作4分/学习能力3分 | 360评价：上级A/同级A- | 岗位匹配：低-错配风险(技能均分2.7) | 分组：零售BP | 工作类型：数据分析/开发（含模型、应用、数仓等）/需求分析 | 饱和度：88.4%(饱和) | 手头项目：客服辅助项目、新行员培训项目、信贷场景MVP日常运维与功能迭代,监管数据治理,"[""客服助手客户经营分析报告撰写，完成向量检索模块的数据洞察"", ""实时开发平台数据挖掘模型训练，完成数据清洗模块的预测分析"", ""Hadoop集群数据可视化看板搭建，完成任务调度模块的实时监测"", ""知识库问答系统用户行为分析，完成报表生成模块的客群画像"", ""外搜接口采购数据需求调研，输出监控告警模块分析结论""]","[""客服辅助项目"", ""新行员培训项目"", ""信贷场景MVP日常运维与功能迭代""]","[""数据分析"", ""开发（含模型、应用、数仓等）"", ""需求分析""]","[""长文本智能分析""]","{""总体饱和度"": 88.4, ""开发/实施占比"": 58.0, ""会议沟通占比"": 20.4, ""文档撰写占比"": 11.8, ""学习提升占比"": 9.8, ""负荷等级"": ""饱和""}",,86,优秀,7367,1,15.7,59,40,85,69
71,300071,吴琪,智能应用二部,应用研发,30.7,男,硕士,3.7,4.8,3.75,2,1,1,1,1,4,9.8,0,0,0,0,0,0,0,0,1,创新奖,2,0,0,3,2,2,0,0,22,是,1,2,1,4,2,4,3,2,4,1,5,1,3,4,3,B,A+,A,沟通,无,吴琪（智能应用二部/应用研发） | 男，30.7岁，硕士，行龄3.7年 | 绩效3.75分，日均工时9.8h，牵头项目4个 | 最强技能：SQL开发(4分)、数学与建模理论基础(4分)、技术架构设计(3分) | 软技能：学习能力5分/领导力4分/任务拆解能力3分 | 360评价：上级B/同级A+ | 岗位匹配：低-错配风险(技能均分2.5) | 分组：零售应用组 | 工作类型：开发（含模型、应用、数仓等）/生产运维/测试 | 饱和度：103.9%(高负荷) | 手头项目：对公信贷智能化、智能工单场景、知识库问答体系建设、信贷场景MVP日常运维与功能迭代,AI产品运营组,"[""长文本智能分析技术方案设计，输出推理服务层的详细设计文档"", ""对公信贷智能化技术方案设计，输出报表生成模块的详细设计文档"", ""参与客服辅助项目代码评审，完成监控告警模块的技术债务清理"", ""数据测试平台性能优化，完成报表生成模块的并发处理能力提升"", ""数据采集工具性能优化，完成测试框架的并发处理能力提升""]","[""对公信贷智能化"", ""智能工单场景"", ""知识库问答体系建设"", ""信贷场景MVP日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""生产运维"", ""测试""]","[""大模型智能体"", ""客服助手""]","{""总体饱和度"": 103.9, ""开发/实施占比"": 40.5, ""会议沟通占比"": 10.8, ""文档撰写占比"": 5.2, ""学习提升占比"": 43.5, ""负荷等级"": ""高负荷""}",,49,不及格,2819,2,8.7,72,69,50,79
72,300072,廖西江,信息统计部,测试,25.7,女,硕士,4.2,3.2,2.82,0,0,1,3,0,0,6.3,1,1,0,0,0,0,0,0,1,银雁奖,1,0,1,2,1,1,0,1,11,否,4,4,4,2,3,2,4,1,4,4,4,3,2,2,5,A-,A-,B-,数学,绘画,廖西江（信息统计部/测试） | 女，25.7岁，硕士，行龄4.2年 | 绩效2.82分，日均工时6.3h，牵头项目0个 | 角色：组长/骨干、重点项目成员 | 最强技能：数据分析工具运用能力(4分)、算法模型开发能力(4分)、营销运营能力(4分) | 软技能：团队合作5分/学习能力4分/创新思维3分 | 360评价：上级A-/同级A- | 分组：项目管理团队 | 工作类型：测试/开发（含模型、应用、数仓等）/生产运维 | 饱和度：76.0%(正常) | 手头项目：JSON转代码验证、反诈机器学习模型、智能工单场景、数据脱敏工具日常运维与功能迭代,管理信息组,"[""数据测试平台安全测试，完成前端展示层的渗透测试与漏洞修复验证"", ""DataFun论坛项目测试评审会议，完成任务调度模块的测试报告输出"", ""智能外呼分析性能测试方案设计，完成缓存层的压测执行与分析"", ""大模型智能体性能测试方案设计，完成缓存层的压测执行与分析""]","[""JSON转代码验证"", ""反诈机器学习模型"", ""智能工单场景"", ""数据脱敏工具日常运维与功能迭代""]","[""测试"", ""开发（含模型、应用、数仓等）"", ""生产运维""]","[""流水鉴真系统"", ""综合监管报送""]","{""总体饱和度"": 76.0, ""开发/实施占比"": 40.3, ""会议沟通占比"": 24.9, ""文档撰写占比"": 11.1, ""学习提升占比"": 23.7, ""负荷等级"": ""正常""}",,60,及格,12321,1,1.6,59,79,59,65
